Feature,Classifier,Evaluation Type,Accuracy,Precision,Recall,F1-Score,ROC-AUC
MFCC,SVM,Within-dataset ASVspoof,0.97,0.97,0.97,0.97,0.9952
MFCC,Random Forest,Within-dataset ASVspoof,0.925,0.9381443298969072,0.91,0.9238578680203046,0.97595
MFCC,XGBoost,Within-dataset ASVspoof,0.925,0.9207920792079208,0.93,0.9253731343283582,0.9831000000000001
MFCC,SVM,Cross-dataset ASVspoof to FoR,0.5,0.5,1.0,0.6666666666666666,0.502092
MFCC,Random Forest,Cross-dataset ASVspoof to FoR,0.501,0.5005015045135406,0.998,0.6666666666666666,0.564098
MFCC,XGBoost,Cross-dataset ASVspoof to FoR,0.5,0.5,0.984,0.6630727762803235,0.552428
WavLM,SVM,Within-dataset ASVspoof,0.945,1.0,0.89,0.9417989417989417,0.9839
WavLM,Random Forest,Within-dataset ASVspoof,0.93,0.967391304347826,0.89,0.9270833333333334,0.95985
WavLM,XGBoost,Within-dataset ASVspoof,0.955,0.989247311827957,0.92,0.9533678756476683,0.9753000000000001
WavLM,SVM,Cross-dataset ASVspoof to FoR,0.505,0.5025125628140703,1.0,0.6688963210702341,0.6504
WavLM,Random Forest,Cross-dataset ASVspoof to FoR,0.503,0.5015045135406219,1.0,0.6680026720106881,0.549286
WavLM,XGBoost,Cross-dataset ASVspoof to FoR,0.512,0.5060851926977687,0.998,0.6716016150740243,0.669452
MFCC + WavLM,SVM,Within-dataset ASVspoof,0.96,1.0,0.92,0.9583333333333334,0.996
MFCC + WavLM,Random Forest,Within-dataset ASVspoof,0.95,1.0,0.9,0.9473684210526315,0.9748
MFCC + WavLM,XGBoost,Within-dataset ASVspoof,0.97,0.9895833333333334,0.95,0.9693877551020408,0.9949000000000001
MFCC + WavLM,SVM,Cross-dataset ASVspoof to FoR,0.515,0.5076142131979695,1.0,0.6734006734006734,0.7882159999999999
MFCC + WavLM,Random Forest,Cross-dataset ASVspoof to FoR,0.505,0.5025125628140703,1.0,0.6688963210702341,0.544314
MFCC + WavLM,XGBoost,Cross-dataset ASVspoof to FoR,0.526,0.5134854771784232,0.99,0.6762295081967213,0.7179719999999999
